Producto,Marca,Precio,Link,Tienda
"Laptop Lenovo Yoga Slim 7 de 14.5"", Copilot+ PC, Snapdragon X Elite, 12 núcleos, 32GB RAM, disco sólido de 1TB, modelo 83ED003PLM",LENOVO,62990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-slim-7-de-14-5-copilot-pc-snapdragon-x-elite-12-nucleos-32gb-ram-disco-solido-de-1tb-modelo-83ed003plm,Hiraoka
"Laptop HP Pavilion de 15.6"", modelo 15-EH3002LA, AMD Ryzen 7 7730U, 16GB RAM, disco sólido de 512GB",HP,24990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-pavilion-de-15-6-modelo-15-eh3002la-amd-ryzen-7-7730u-16gb-ram-disco-solido-de-512gb,Hiraoka
"Macbook Pro de 16.2"", Chip M4 Pro, 24GB RAM, disco sólido de 512GB, modelo MX2X3E/A, Negro Espacial",APPLE,143990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-pro-de-16-2-chip-m4-pro-24gb-ram-disco-solido-de-512gb-modelo-mx2x3e-a-negro-espacial,Hiraoka
"Macbook Air de 13.6"", Chip M2, 16GB RAM, disco sólido de 512GB, modelo Z15S006SP, Gris Espacial",APPLE,75990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-de-13-6-chip-m2-16gb-ram-disco-solido-de-512gb-modelo-z15s006sp-gris-espacial,Hiraoka
"MacBook Air 13.6"" M2 512GB SSD Plata",APPLE,57990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-13-6-m2-512gb-ssd-plata,Hiraoka
"MacBook Air 13.6"" M2 512GB SSD Blanco Estelar",APPLE,58990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-13-6-m2-512gb-ssd-blanco-estelar,Hiraoka
"Laptop Gamer Acer Nitro V de 15.6"", Intel Core i5-13420H (13va Gen), 8 núcleos, NVIDIA GeForce RTX 3050, 8GB RAM, disco sólido de 512GB, modelo ANV15-51-56GH",ACER,27990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-15-6-intel-core-i5-13420h-13va-gen-8-nucleos-nvidia-geforce-rtx-3050-8gb-ram-disco-solido-de-512gb-modelo-anv15-51-56gh,Hiraoka
"Laptop Gamer Acer Nitro V de 15.6"", Intel Core i7-13620H (13va Gen), 10 núcleos, NVIDIA GeForce RTX 3050, 16GB RAM, disco sólido de 512GB",ACER,46990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-15-6-intel-core-i7-13620h-13va-gen-10-nucleos-nvidia-geforce-rtx-3050-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer Acer Nitro V 15 de 15.6"", modelo ANV15-51-711U, Intel Core i7 13620H (13va Gen), 10 núcleos, NVIDIA GeForce RTX 4050, 16GB RAM, disco sólido de 512GB",ACER,44990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-15-de-15-6-modelo-anv15-51-711u-intel-core-i7-13620h-13va-gen-10-nucleos-nvidia-geforce-rtx-4050-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer HP Victus 15 de 15.6"", modelo 15-FB2019LA, AMD Ryzen 7 8840H, NVIDIA GeForce RTX 4050, 16GB RAM, disco sólido de 1TB",HP,46490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-hp-victus-15-de-15-6-modelo-15-fb2019la-amd-ryzen-7-8840h-nvidia-geforce-rtx-4050-16gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop Lenovo Yoga Slim 7i de 14"", modelo 83CV002HLM, Intel Core Ultra 7 155H, 16 núcleos, 32GB RAM, disco sólido de 1TB",LENOVO,45990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-yoga-slim-7i-de-14-modelo-83cv002hlm-intel-core-ultra-7-155h-14va-gen-14-nucleos-32gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop HP de 14"", modelo  14-EP1001LA, Intel Core Ultra 5 125H, 14 núcleos, 8GB RAM, disco sólido de 512GB",HP,28490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-de-14-modelo-14-ep1001la-intel-core-ultra-5-125h-14-nucleos-8gb-ram-disco-solido-de-512gb,Hiraoka
